Contribution type;Sequence;Nb of electrodes;Dimension;Boreholes;Rhizotron;Method;Boundary cond;Spatial scale;Spatial scale (m);Temporal scale;Prospection date;Instrument;Permanent setup;Ancillary measurements;Crop type;Organ studied;soil type;water use;Research purpose* (According to Zhao et al 2019);Calibration ;Temperature correction;Authors;Surname;Name;Corresponding email;Personal website;DOI;Preprint;URL;Institution;Adress;Title;Keywords;Date;Journal;Dataset DOI;Notebook DOI;Notebook filename;Lat;Long;Software name;Software licence;Software DOI;Software website
Book;;;;;;multiple;field;;;None;;various;no;;;;;;;;;Allred et al.;;;;;OCLC: ocn181069227;;;;;Handbook of agricultural geophysics;"calibration; ERT";2008;;;;;;;;;;
Book;;;;;;multiple;field;;;None;;;no;;;;;;;;;Viscarra Rossel et al.;;;;;10.1016/B978-0-12-386473-4.00005-1;;;;;Chapter Five - Proximal Soil Sensing: An Effective Approach for Soil Measurements in Space and Time;"soil structure; review";2011;;;;;;;;;;
Research article;;;;;;EMI;field;;;None;;;no;;;;;;;;;Rudolph et al.;;;;;10.1016/j.geoderma.2014.11.015;;;;;Linking satellite derived LAI patterns with subsoil heterogeneity using large-scale ground-based electromagnetic induction measurements;"compaction; traffic";2015;;;;;50.8691667;6.45;;;;
Research article;;;;;;EMI;field;;;None;;;no;;;;;;;;;Hedley et al.;;;;;10.1071/SR03149;;;;;Rapid identification of soil textural and management zones using electromagnetic induction sensing of soils;"atrazine; pesticide";2004;;;;;;;;;;
Research article;;;;;;EMI;field;;;None;;;no;;;;;;;;;Brogi et al.;;;;;10.1016/j.geoderma.2018.08.001;;;;;Large-scale soil mapping using multi-configuration EMI and supervised image classification;"review; ECa";2019;;;;;;;;;;
Research article;;;2D;;;"EMI; ERT";field;field;;None;;CMD Mini-Explorer;no;;;;;;;;;von Hebel et al.;;;;;10.1002/2013WR014864;;;;;Three-dimensional imaging of subsurface structural patterns using quantitative large-scale multiconfiguration electromagnetic induction data;"drip irrigation; salinity; joint inversion";2014;;;;;;;;;;
Research article;;;;;;multiple;field;field;;None;;;no;;;;;;;;;Romero-Ruiz et al.;;;;;10.1029/2018RG000611;;;;;A Review of Geophysical Methods for Soil Structure Characterization: GEOPHYSICS AND SOIL STRUCTURE;"precision agriculture; soil moisture";2018;;;;;;;;;;
Research article;;;;;;EMI;field;field;;None;;;no;;;;;;;;;Galambošová et al.;;;;;10.2478/ata-2020-0001;;;;;Determining Trafficked Areas Using Soil Electrical Conductivity – A Pilot Study;"review; ECa; soil moisture; pedophysical relationships";2020;;;;;48.3020556;18.098;;;;
Research article;;;;;;EMI;field;field;;None;;;no;;;;;;;;;de Olivieira et al.;;;;;10.1016/j.geoderma.2020.114525;;;;;Using electromagnetic induction technology to identify atrazine leaching potential at field scale;"catchment; soil moisture; forest";2020;;;;;40.5222222;-98.055;;;;
Research article;;;;;;EMI;field;field;;None;;;no;;;;;;;;;Corwin and Lesh;;;;;10.1016/j.compag.2004.10.005;;;;;Apparent soil electrical conductivity measurements in agriculture;"Time-lapse; monitoring; soil moisture";2005;;;;;33.898416;-117.254872;;;;
Research article;;;1D;;;EMI;field;field;;None;;CMD Mini-Explorer;no;;Acacia;;sandy loam;drip irrigation;;;N/A;Jadoon et al.;;;;;10.1002/2014WR016245;;;;;Estimation of soil salinity in a drip irrigation system by using joint inversion of multicoil electromagnetic induction measurements;"ECa; soil moisture";2015;;;;;22.3247222;39.15736111;custom;-;;
Research article;;;2D;;;EMI;field;field;;weeks;;EM38;no;;Grass;;various;;;;no;Brevik et al.;;;;;10.1007/s11119-006-9021-x;;;;;Soil electrical conductivity as a function of soil water content and implications for soil mapping;"review; EMI sensor; agriculture";2006;;;;;42.034;-93.75;;;;
Research article;;;;;;EMI;Various;various;;;;;no;;;;;;;;;Calamita et al.;;;;;10.1016/j.jhydrol.2015.07.023;;;;;Field test of a multi-frequency electromagnetic induction sensor for soil moisture monitoring in southern Italy test sites;"catchment; oak-grass savana; time-lapse";2015;;;;;;;;;;
Research article;;;;;;EMI;field;catchment;;months;;CMD Mini-Explorer;no;;;;;rainfed;;;yes;Altdorff et al.;;;;;10.1007/s12665-016-6361-3;;;;;Potential of catchment-wide soil water content prediction using electromagnetic induction in a forest ecosystem;"alfalfa; algorithm";2018;;;;;50.92149;6.36267;-;-;;
Research article;;;2D;;;EMI;field;field;;days;;DUALEM-421;no;;Alfalfa;;;irrigated;;;no;Huang et al.;;;;;10.1111/sum.12261;;;;;Time-lapse monitoring of soil water content using electromagnetic conductivity imaging;"wheat; time-lapse; varieties; soil drying";2017;;;;;33.8403972;117.0041472;EM4Soil;proprietary;;
Research article;;;;;;EMI;field;field;;years;;DUALEM-1S;;;;;loamy;;;;;Abdu et al.;;;;;10.1029/2008WR007043;;;;;Geophysical imaging of watershed subsurface patterns and prediction of soil texture and water holding capacity: GEOPHYSICAL IMAGING OF WATERSHED SUBSURFACE;"review; roots";2008;;;;;43.6666667;-123.5;;;;
Research article;;;-;;;EMI;field;field;;;;;no;;;;;;;;;Doolitle and Brevik;;;;;10.1016/j.geoderma.2014.01.027;;;;;The use of electromagnetic induction techniques in soils studies;"chickpea; time-lapse; plot-scale";2014;;;;;;;-;-;;
